OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,"Mamie R. McLean, MD",102,48,36,31,47.1%,37.5%,27.8%,6.5%,38.2%,31.3%,25.0%,6.5%,95,44,28,22,50.5%,40.9%,35.7%,9.1%,41.1%,34.1%,32.1%,9.1%,107,44,24,19,44.9%,40.9%,41.7%,* / 19,36.4%,34.1%,37.5%,* / 19,2.1,2.7,3.6,15.5,48.1%,44.4%,* / 17,5.0%,55.8%,44.4%,6 / 17,5.0%,55.8%,44.4%,7 / 17,5.0%,1.2,1.2,1.4,1.3,1.0,0.9,0.8,0.5,6,8,11,0,5 / 6,* / 8,* / 11,,5 / 6,* / 8,* / 11,,300,84,72,62,518,4.1%,10.0%,5.0%,25.0%,7.5%,25.9%,12.5%,20.0%,23.6%,22.6%,1.0%,6.0%,2.8%,0.0%,1.9%,0.5%,0.0%,0.0%,0.0%,0.3%,75.5%,78.8%,78.9%,62.9%,75.1%,52.7%,50.0%,57.9%,42.9%,51.8%,9.6%,26.9%,34.2%,14.3%,16.0%,31%,25%,12%,13%,3%,4%,0%,9%,15%,11%,15%,3%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
2,UNIVERSITY OF ALABAMA AT BIRMINGHAM,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BIRMINGHAM,ALABAMA,"Deidre D Gunn, MD",21,10,9,7,42.9%,* / 10,0 / 9,0 / 7,42.9%,* / 10,0 / 9,0 / 7,19,9,6,6,9 / 19,* / 9,0 / 6,0 / 6,9 / 19,* / 9,0 / 6,0 / 6,19,6,*,*,9 / 19,* / 6,0 / *,0 / *,9 / 19,* / 6,0 / *,0 / *,2.3,5.0,,,8 / 17,* / 7,0 / 5,0 / *,8 / 17,* / 7,0 / 5,0 / *,8 / 17,* / 7,0 / 5,0 / *,1.2,1.0,1.4,1.3,0.9,0.6,0.4,0.4,0,*,5,0,,0 / *,* / 5,,,0 / *,* / 5,,71,36,27,15,149,20.6%,6 / 19,* / 15,* / 6,20.3%,23.4%,30.0%,38.5%,* / 14,27.6%,11.3%,5.6%,11.1%,0 / 15,8.7%,2.9%,0 / 13,0 / 9,* / 8,3.1%,97.1%,12 / 13,9 / 9,8 / 8,96.9%,55.9%,6 / 13,9 / 9,* / 8,57.8%,55.9%,9 / 13,* / 9,* / 8,54.7%,37%,12%,21%,7%,16%,1%,2%,22%,24%,1%,7%,1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
3,FERTILITY INSTITUTE OF NORTH ALABAMA,,HUNTSVILLE,ALABAMA,"Brett Davenport, MD",17,5,*,*,10 / 17,* / 5,* / *,0 / *,10 / 17,* / 5,* / *,0 / *,16,5,*,*,10 / 16,* / 5,* / *,0 / *,10 / 16,* / 5,* / *,0 / *,15,*,*,0,10 / 15,* / *,* / *,,10 / 15,* / *,* / *,,1.7,1.7,4.0,,9 / 14,* / *,* / *,,10 / 14,* / *,* / *,,10 / 14,* / *,* / *,,1.1,1.3,1.5,,0.9,1.0,0.3,,0,0,0,*,,,,* / *,,,,* / *,114,21,31,13,179,1.7%,0 / 11,0.0%,* / 10,2.0%,7.1%,0.0%,12.9%,* / 12,7.9%,4.4%,4.8%,16.1%,* / 13,7.8%,0.0%,0 / 10,* / 11,0 / *,2.5%,96.5%,10 / 10,10 / 11,* / *,96.3%,78.9%,7 / 10,10 / 11,0 / *,76.5%,49.1%,6 / 10,* / 11,0 / *,46.9%,34%,15%,9%,16%,8%,61%,1%,15%,88%,5%,2%,0%,5%,Yes,No,Yes,Yes,Yes,No,Yes,0,AL
4,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,"George T. Koulianos, MD",54,61,20,18,51.9%,36.1%,30.0%,* / 18,46.3%,31.1%,25.0%,* / 18,50,49,18,17,56.0%,44.9%,6 / 18,* / 17,50.0%,38.8%,5 / 18,* / 17,57,46,15,7,49.1%,47.8%,6 / 15,* / 7,43.9%,41.3%,5 / 15,* / 7,1.9,2.8,3.3,9.0,53.8%,33.3%,* / 9,0 / 7,56.4%,48.5%,* / 9,* / 7,56.4%,48.5%,* / 9,* / 7,1.1,1.3,1.4,1.9,1.1,0.8,0.4,0.3,0,7,15,5,,* / 7,* / 15,* / 5,,* / 7,* / 15,* / 5,140,79,58,51,328,6.5%,15.8%,9.7%,* / 19,10.0%,12.5%,13.7%,16.4%,26.5%,15.7%,1.4%,2.5%,0.0%,0.0%,1.2%,0.0%,2.2%,0.0%,3.8%,1.1%,78.9%,80.0%,82.8%,80.8%,80.0%,91.1%,88.9%,86.2%,50.0%,84.2%,11.1%,40.0%,34.5%,23.1%,23.2%,47%,20%,20%,15%,<1%,21%,1%,16%,24%,4%,28%,2%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL
5,"KATIE OSTROM MD, LLC",,HOMER,ALASKA,"Gary Levy, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,5,*,*,16,0 / *,0 / *,0 / *,0 / *,0 / 8,* / 5,* / 5,* / *,* / *,6 / 16,0 / 5,0 / 5,0 / *,* / *,* / 16,0 / *,0 / *,0 / *,0 / *,0 / 8,* / *,* / *,* / *,* / *,8 / 8,0 / *,0 / *,0 / *,0 / *,0 / 8,0 / *,0 / *,0 / *,0 / *,0 / 8,* / 16,0 / 16,* / 16,5 / 16,0 / 16,0 / 16,0 / 16,5 / 16,* / 16,0 / 16,0 / 16,* / 16,* / 16,Yes,No,Yes,Yes,Yes,No,No,0,AK
6,NEW DIRECTION FERTILITY CENTERS,,GILBERT,ARIZONA,"Mark Amols, MD",226,115,102,87,64.6%,54.8%,41.2%,10.3%,42.9%,46.1%,35.3%,9.2%,225,109,100,77,64.9%,57.8%,42.0%,11.7%,43.1%,48.6%,36.0%,10.4%,232,104,72,25,62.9%,60.6%,58.3%,36.0%,41.8%,51.0%,50.0%,32.0%,1.5,1.8,2.4,9.7,69.3%,62.8%,44.4%,16.7%,72.2%,66.7%,51.9%,19.4%,72.2%,67.9%,53.7%,22.2%,1.0,1.2,1.2,1.7,1.1,1.0,0.7,0.3,*,0,44,0,0 / *,,43.2%,,0 / *,,34.1%,,500,226,171,155,"1,052",1.8%,1.0%,2.3%,3.1%,2.0%,4.0%,2.7%,11.2%,19.7%,7.2%,1.8%,2.7%,3.5%,0.0%,2.0%,0.0%,0.0%,3.7%,0.0%,0.6%,99.3%,99.2%,100.0%,100.0%,99.4%,86.7%,87.9%,85.4%,80.0%,86.1%,72.0%,79.0%,90.2%,74.5%,76.7%,26%,10%,11%,15%,3%,76%,0%,26%,99%,6%,2%,6%,8%,Yes,No,Yes,Yes,Yes,No,Yes,0,AZ
7,"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC",,PHOENIX,ARIZONA,"Drew V Moffitt, MD",51,22,32,20,62.7%,50.0%,31.3%,10.0%,58.8%,40.9%,31.3%,10.0%,48,22,28,20,66.7%,50.0%,35.7%,10.0%,62.5%,40.9%,35.7%,10.0%,55,22,21,8,58.2%,50.0%,47.6%,* / 8,54.5%,40.9%,47.6%,* / 8,1.6,2.0,3.2,10.0,65.2%,50.0%,26.1%,0 / 9,67.4%,50.0%,34.8%,* / 9,67.4%,50.0%,34.8%,* / 9,1.0,1.0,1.2,1.7,1.1,1.0,0.7,0.4,0,*,19,*,,* / *,8 / 19,0 / *,,* / *,8 / 19,0 / *,197,94,69,69,429,3.9%,5.6%,14.3%,16.1%,7.8%,8.8%,5.4%,17.2%,15.6%,10.4%,2.0%,0.0%,0.0%,1.4%,1.2%,1.3%,0.0%,0.0%,17.2%,3.2%,100.0%,100.0%,100.0%,96.6%,99.5%,98.7%,85.5%,88.0%,79.3%,90.4%,24.1%,40.0%,52.0%,31.0%,33.5%,57%,5%,24%,9%,2%,1%,<1%,35%,47%,3%,7%,5%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
8,GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,,PHOENIX,ARIZONA,"Maria M. Gondra, MD",23,15,8,7,47.8%,* / 15,* / 8,* / 7,47.8%,* / 15,* / 8,* / 7,23,14,8,6,47.8%,* / 14,* / 8,* / 6,47.8%,* / 14,* / 8,* / 6,27,10,*,*,40.7%,* / 10,* / *,* / *,40.7%,* / 10,* / *,* / *,2.1,5.0,8.0,7.0,11 / 18,* / 7,0 / *,0 / *,11 / 18,* / 7,0 / *,0 / *,11 / 18,* / 7,0 / *,0 / *,1.1,1.1,1.3,1.0,1.2,0.6,0.5,0.0,0,*,*,0,,* / *,0 / *,,,* / *,0 / *,,57,23,21,20,121,3.0%,0 / 16,0 / 11,* / 13,2.7%,3.6%,26.1%,4.8%,* / 19,10.9%,3.5%,13.0%,0.0%,5.0%,5.0%,0.0%,0 / 8,0 / 9,0 / 6,0.0%,85.7%,6 / 8,9 / 9,* / 6,84.3%,75.0%,6 / 8,6 / 9,5 / 6,74.5%,28.6%,* / 8,8 / 9,* / 6,43.1%,55%,20%,22%,40%,36%,47%,0%,48%,36%,11%,5%,1%,2%,No,No,Yes,Yes,Yes,No,No,0,AZ
9,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,"Sujatha Gunnala, MD",36,23,31,11,50.0%,52.2%,25.8%,* / 11,38.9%,43.5%,22.6%,* / 11,36,22,31,10,50.0%,54.5%,25.8%,* / 10,38.9%,45.5%,22.6%,* / 10,45,23,30,5,40.0%,52.2%,26.7%,* / 5,31.1%,43.5%,23.3%,* / 5,2.0,1.9,3.9,2.8,46.2%,8 / 15,5 / 14,* / *,61.5%,10 / 15,6 / 14,* / *,61.5%,10 / 15,6 / 14,* / *,1.2,1.2,1.2,1.5,1.3,1.1,1.1,0.3,5,*,7,*,* / 5,* / *,5 / 7,* / *,* / 5,* / *,5 / 7,* / *,82,37,53,52,224,4.2%,0 / 18,8.6%,5.9%,5.2%,2.5%,2.7%,8.0%,8.0%,5.1%,2.4%,2.7%,3.8%,1.9%,2.7%,0.0%,0.0%,3.4%,5.6%,2.0%,60.0%,70.4%,58.6%,38.9%,56.5%,92.7%,96.3%,100.0%,88.9%,93.9%,30.9%,37.0%,41.4%,19.4%,31.3%,53%,11%,20%,21%,12%,0%,1%,46%,28%,8%,4%,2%,5%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
10,"ADVANCED FERTILITY CARE, PLLC",,SCOTTSDALE,ARIZONA,"Frederick W. Larsen, MD",100,71,45,30,54.0%,45.1%,37.8%,13.3%,45.0%,42.3%,37.8%,13.3%,98,58,39,25,55.1%,55.2%,43.6%,16.0%,45.9%,51.7%,43.6%,16.0%,100,43,29,6,54.0%,74.4%,58.6%,* / 6,45.0%,69.8%,58.6%,* / 6,1.9,2.2,2.6,7.5,59.2%,48.9%,35.5%,* / 17,70.4%,55.6%,38.7%,* / 17,71.8%,55.6%,38.7%,* / 17,1.2,1.2,1.2,1.2,1.0,0.6,0.6,0.2,0,0,39,6,,,51.3%,* / 6,,,48.7%,* / 6,260,137,102,75,574,4.4%,8.8%,13.0%,9.7%,7.9%,9.0%,9.2%,17.9%,22.2%,12.3%,4.6%,8.8%,3.9%,1.3%,5.1%,2.9%,11.3%,0.0%,0.0%,4.0%,97.1%,98.4%,100.0%,95.1%,97.5%,66.2%,66.1%,69.2%,46.3%,63.7%,66.9%,75.8%,84.6%,63.4%,70.9%,56%,7%,17%,10%,8%,69%,1%,33%,44%,7%,69%,2%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
